100004	Q0	1138813	0	-2.4020362	cross-encoder
100004	Q0	1269280	1	-3.07264	cross-encoder
100004	Q0	73167	2	-2.08076	cross-encoder
100004	Q0	262393	3	-2.190874	cross-encoder
100004	Q0	626027	4	-4.620452	cross-encoder
100004	Q0	124273	5	-4.658553	cross-encoder
100004	Q0	442532	6	-2.157165	cross-encoder
100004	Q0	315254	7	-0.03205186	cross-encoder
100004	Q0	935362	8	-2.4892948	cross-encoder
100004	Q0	1228493	9	-2.2168577	cross-encoder
100051	Q0	466501	0	-1.3481234	cross-encoder
100051	Q0	216806	1	0.64101183	cross-encoder
100051	Q0	419734	2	1.6369323	cross-encoder
100051	Q0	924921	3	1.8542548	cross-encoder
100051	Q0	20076	4	-3.4652543	cross-encoder
100051	Q0	1368988	5	-0.7841607	cross-encoder
100051	Q0	1284852	6	-4.480429	cross-encoder
100051	Q0	1162819	7	0.84880364	cross-encoder
100051	Q0	336224	8	-1.4384665	cross-encoder
100051	Q0	150250	9	-3.7438772	cross-encoder
10008	Q0	276959	0	-5.828694	cross-encoder
10008	Q0	364006	1	-3.3064167	cross-encoder
10008	Q0	187873	2	-3.4697163	cross-encoder
10008	Q0	379211	3	-0.9230905	cross-encoder
10008	Q0	298831	4	-4.3271003	cross-encoder
10008	Q0	769358	5	-3.6220024	cross-encoder
10008	Q0	453494	6	-4.4423513	cross-encoder
10008	Q0	630699	7	-3.714476	cross-encoder
10008	Q0	1283802	8	-2.0051036	cross-encoder
10008	Q0	316409	9	-2.4505484	cross-encoder
100090	Q0	203339	0	-0.28211325	cross-encoder
100090	Q0	264061	1	1.1857541	cross-encoder
100090	Q0	339397	2	2.3833718	cross-encoder
100090	Q0	1154262	3	-4.9435925	cross-encoder
100090	Q0	799344	4	-3.1643133	cross-encoder
100090	Q0	264373	5	-5.111768	cross-encoder
100090	Q0	24573	6	-5.2707295	cross-encoder
100090	Q0	1243661	7	-3.5990453	cross-encoder
100090	Q0	1401704	8	-3.555272	cross-encoder
100090	Q0	113553	9	-4.515605	cross-encoder
100167	Q0	1072443	0	-0.054347485	cross-encoder
100167	Q0	568144	1	-0.2759317	cross-encoder
100167	Q0	1339996	2	1.0408006	cross-encoder
100167	Q0	521339	3	1.4039705	cross-encoder
100167	Q0	142521	4	0.10652798	cross-encoder
100167	Q0	827353	5	1.1852272	cross-encoder
100167	Q0	105564	6	-2.2262912	cross-encoder
100167	Q0	141534	7	0.4869899	cross-encoder
100167	Q0	118200	8	-1.7477973	cross-encoder
100167	Q0	332317	9	1.2518542	cross-encoder
100226	Q0	1253360	0	4.623219	cross-encoder
100226	Q0	139222	1	5.968136	cross-encoder
100226	Q0	485020	2	4.6753845	cross-encoder
100226	Q0	1030791	3	4.659193	cross-encoder
100226	Q0	1346481	4	3.7123933	cross-encoder
100226	Q0	1063507	5	6.2939596	cross-encoder
100226	Q0	197639	6	4.0545797	cross-encoder
100226	Q0	1416887	7	4.0525765	cross-encoder
100226	Q0	86508	8	4.1327105	cross-encoder
100226	Q0	1364254	9	3.614848	cross-encoder
1003103	Q0	1389550	0	-4.704781	cross-encoder
1003103	Q0	236835	1	-3.1199436	cross-encoder
1003103	Q0	462172	2	-2.2857637	cross-encoder
1003103	Q0	1067231	3	-4.517585	cross-encoder
1003103	Q0	370055	4	-0.67692006	cross-encoder
1003103	Q0	1067232	5	-5.2580385	cross-encoder
1003103	Q0	1251509	6	-6.587117	cross-encoder
1003103	Q0	632548	7	-0.6451659	cross-encoder
1003103	Q0	1368477	8	-1.0487758	cross-encoder
1003103	Q0	895361	9	-4.193898	cross-encoder
1004712	Q0	1390859	0	0.3840634	cross-encoder
1004712	Q0	1384429	1	-0.07883184	cross-encoder
1004712	Q0	1310023	2	-0.68708545	cross-encoder
1004712	Q0	210861	3	-1.8693297	cross-encoder
